id,name,price,roastery,country,process,product_url,description,blend,decaf,gesha,price_per_gram
875,온두라스 SHG EP,16500,더드립,온두라스,Fully Washed,https://www.thedripmall.com/goods/goods_view.php?goodsNo=1000002671,"품종: IHCAFE90, Lempira etc",False,False,False,16.5
1468,신규입고 인도 아자드 힌드 로부스타 무산소 내추럴 2026,16500,커피리브레,인도,무산소 내추럴 Anaerobic Natural,https://coffeelibre.kr/product/detail.html?product_no=7933&amp;cate_no=56&amp;display_group=1,품종: 로부스타 Robusta (Old Perdenia),False,False,False,16.5
952,탄자니아 킬리만자로 AA 워시드 Tanzania,16500,블레스빈,탄자니아,워시드 Washed,https://blessbean.co.kr/shop/item.php?it_id=TN-KAFW001,"품종: 켄트, 버번 Kent, Bourbon",False,False,False,16.5
35,★세일★ 콜롬비아 엘 탐보 워시드,16400,알마씨엘로,콜롬비아,워시드,https://www.almacielo.com/shop/detail.php?pno=B132ECC1609BFCF302615847C1CAA69A&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,품종: CASTILLO,False,False,False,16.4
1462,신규입고 과테말라 SHB EP,16400,알마씨엘로,과테말라,워시드,https://www.almacielo.com/shop/detail.php?pno=831C2F88A604A07CA94314B56A4921B8&amp;rURL=https%3A%2F%2Fwww.almacielo.com%2Fcontent%2Fcontent.php%3Fcont%3Dsimpleorder&amp;ctype=1&amp;cno1=,"품종: CATURRA, BOURBON",False,False,False,16.4
692,부룬디 응고지 바히레,16400,로열커피,부룬디,워시드,https://royalcoffeekorea.co.kr/goods/goods_view.php?goodsNo=1572,품종: 버번,False,False,False,16.4
1282,스페셜티 카우카 EP,16400,세웅지씨,콜롬비아,,https://www.sewoonggc.com:443/shop/item.php?it_id=1759399764,,False,False,False,16.4
1065,Colombia Huila Supremo 콜롬비아 후일라 수프리모,16200,레헴코리아,콜롬비아,워시드,https://rnccoffee.kr/product/detail.html?product_no=27,"품종: Castillo, Colombia",False,False,False,16.2
1355,SHB EP 따라주,16200,세웅지씨,코스타리카,,https://www.sewoonggc.com:443/shop/item.php?it_id=1578450165,,False,False,False,16.2
968,과테말라 제네릭 SHB EP 워시드 Guatemala,16200,블레스빈,과테말라,워시드 Washed,https://blessbean.co.kr/shop/item.php?it_id=GT-OSBW001,품종: 카스틸로 Castillo,False,False,False,16.2
1137,시다모 G2 워시드,16200,세웅지씨,에티오피아,워시드,https://www.sewoonggc.com:443/shop/item.php?it_id=1484108142,,False,False,False,16.2
970,엘살바도르 산타아나 쿠스카자파 SHG EP 워시드 El salvador,16200,블레스빈,엘살바도르,워시드 Washed,https://blessbean.co.kr/shop/item.php?it_id=SV-CSHW002,품종: 카투아이 아마릴로 믹스 Catuai Amarillo mix,False,False,False,16.2
377,코스타리카 산타 테레사 2000,16200,커피리브레,코스타리카,화이트 허니 White Honey,https://coffeelibre.kr/product/detail.html?product_no=6525&amp;cate_no=56&amp;display_group=1,품종: 카투아이 Catuai,False,False,False,16.2
378,코스타리카 산타 테레사 2000 라 몬타냐,16200,커피리브레,코스타리카,화이트 허니 White Honey,https://coffeelibre.kr/product/detail.html?product_no=6527&amp;cate_no=56&amp;display_group=1,품종: 카투아이 Catuai,False,False,False,16.2
